(490, 810, 481.58091722293744, 806.3262205872934)
(451, 810, 442.5511540265118, 805.933688600573)
(412, 810, 403.56501749217864, 805.6056879419775)
(373, 810, 364.62636792241284, 805.234296696719)
(334, 810, 325.61198956564806, 804.930440511078)
(295, 810, 286.6132513051681, 804.7134285257276)
(256, 810, 247.6107696611459, 804.4736825465293)
(217, 810, 208.63402769720477, 804.1699013616039)
(178, 810, 169.63696852844805, 803.8762788199299)
(206, 782, 197.64855578918468, 775.8167532335921)
(234, 754, 225.66655811838453, 747.8404188918877)
(262, 726, 253.62794113594276, 719.9117189288785)
(290, 698, 281.60278137933966, 691.9506006998913)
(318, 670, 309.6495135778939, 664.0013108860039)
(346, 698, 337.66080837780146, 691.9457556464744)
(374, 726, 365.6732464158078, 719.9836731848266)
(402, 754, 393.71232553082416, 747.9606783377695)
(430, 782, 421.6998473431934, 775.9883953000949)
(458, 810, 449.6776416585454, 802.2450059924524)
