(498, 817, 481.30024926970594, 809.9680355406484)
(460, 820, 443.30146865909273, 811.4188943446295)
(414, 817, 397.3233729385527, 808.2156950873701)
(366, 817, 349.3305686624948, 807.8304685498146)
(336, 818, 319.30151817467265, 808.259682409109)
(292, 818, 275.27266715091656, 807.769934608137)
(256, 819, 239.25370268733448, 808.0715249957733)
(216, 819, 199.27406961160062, 807.5933067321798)
(177, 819, 160.37720383321746, 807.0242546630177)
(202, 794, 185.3778318512344, 781.9446163286339)
(234, 760, 217.4302730635026, 747.9884450525659)
(266, 725, 249.45792694458515, 712.9959595387605)
(290, 701, 273.431076348686, 689.0591202467124)
(312, 677, 295.45382090487163, 665.0569284044957)
(352, 712, 335.4849233231798, 699.9876936203519)
(387, 745, 370.5019195370555, 732.978765495341)
(410, 772, 393.5046119383277, 760.0667295272452)
(438, 803, 421.54522996757794, 790.8007968128187)
(463, 828, 446.6316504089672, 809.9699624451404)
