(61, 655, 67.96557927695918, 653.7267175129541)
(100, 655, 106.93072144642166, 654.2001442919385)
(139, 655, 145.90630009227766, 654.7300851070473)
(178, 655, 184.94436512492237, 655.1103023296465)
(217, 655, 224.05349492886975, 655.4400932253374)
(256, 655, 263.11463879074284, 655.5776963050992)
(295, 655, 302.1300452496118, 655.558217691382)
(334, 655, 341.11826228785225, 655.5083884106801)
(373, 655, 380.0732423591076, 655.5149702616699)
(412, 655, 419.0266055323464, 655.5311738122459)
(451, 655, 457.981589685962, 655.5143275372917)
(490, 655, 496.69697850791914, 655.5116929558937)
(490, 616, 496.6191799463133, 616.5274024225911)
(490, 577, 496.606262098548, 577.5342658221398)
(490, 538, 496.6061464393119, 538.3963374828422)
(490, 499, 496.56962326635784, 499.3491202103618)
(490, 460, 496.51227073923474, 460.3367689586234)
(490, 421, 496.5120552803785, 421.3171724286868)
(490, 382, 496.47181619813955, 382.31917165889985)
(490, 343, 496.3802967931596, 343.3023964385009)
(451, 343, 457.3934912862969, 343.309824102599)
(412, 343, 418.44346090359807, 343.30080248135266)
(373, 343, 379.42406113950585, 343.26195235607565)
(334, 343, 340.4263710793092, 343.23532772619023)
(295, 343, 301.51028728084844, 343.26803956094966)
(295, 382, 301.5147249670199, 382.283586848137)
(295, 421, 301.52022080315777, 421.23847672257483)
(295, 460, 301.51630048563294, 460.24040083779875)
(295, 499, 301.58632530973574, 499.18938570948666)
(295, 538, 301.5699932400373, 538.1946346889865)
(295, 577, 301.6152399927252, 577.2270949666832)
(295, 616, 301.6905273639597, 616.2337645119145)
(295, 655, 301.6845632229421, 655.2669284697362)
(334, 655, 340.6908603136966, 655.2263754310356)
(373, 655, 379.6358824757995, 655.2688180976374)
(412, 655, 418.64917798075066, 655.2857048629497)
(451, 655, 457.6881402247608, 655.2708681734938)
(490, 655, 495.6289895159102, 655.2739315460612)
