(86, 688, 88.70512705481585, 660.0449053173415)
(141, 689, 143.70287920430602, 661.0702777676137)
(188, 692, 190.71390067134047, 664.0625734890381)
(225, 693, 227.70675020671968, 665.086443286013)
(267, 688, 269.6982066096528, 660.0853362157275)
(326, 688, 328.69957059077785, 660.1315196376054)
(368, 687, 370.67350497381966, 659.1190652794993)
(407, 684, 409.6594365953818, 656.1029924711256)
(452, 686, 454.64203466120796, 658.1213984562045)
(493, 682, 495.65723296571724, 654.1098208158741)
(494, 642, 496.6235802777482, 614.1076425762557)
(493, 611, 495.6373224696842, 583.1121925087618)
(492, 578, 494.64919114936004, 550.1289105383389)
(492, 533, 494.6366257501826, 505.1213909150884)
(493, 491, 495.63810919266956, 463.1331624878227)
(495, 450, 497.6412886963294, 422.12036254379933)
(496, 416, 498.5917885087009, 388.14504094930237)
(496, 386, 498.6078257718507, 358.160149473101)
(498, 359, 500.622404065989, 331.173178970048)
(469, 362, 471.6173636431989, 334.18179646393173)
(429, 363, 431.618070129116, 335.1863998524343)
(389, 359, 391.6132872862155, 331.1812573605859)
(336, 355, 338.60152246957, 327.1791001181565)
(302, 354, 304.586622273831, 326.22879633359025)
(301, 393, 303.5881310909528, 365.26937446010635)
(302, 436, 304.587151389041, 408.2721520771345)
(302, 462, 304.6029842901589, 434.2636494354834)
(301, 506, 303.6143626357809, 478.28353581882965)
(302, 525, 304.6220805844804, 497.3112376360373)
(301, 563, 303.6011075545082, 535.3876132646116)
(302, 598, 304.61268277853765, 570.3653538358795)
(305, 632, 307.58874142925725, 604.3900868930593)
(303, 664, 305.58438852570066, 636.3478432196092)
(340, 663, 342.55292834022225, 635.3424020207398)
(378, 664, 380.59072020573876, 636.3328056805767)
(418, 663, 420.57152749482646, 635.3581321632688)
(471, 667, 473.58804906670514, 639.3774238170107)
(517, 668, 517.2990558788621, 640.1557540154437)
