(61, 655, 65.86081089865205, 655.642610063528)
(100, 655, 104.85400588434666, 656.0062007859715)
(139, 655, 143.86198159699163, 656.2885362022631)
(178, 655, 182.86739848272066, 656.5703711179416)
(217, 655, 221.82648549506783, 656.77913111681)
(256, 655, 260.81962178048343, 656.8476967112189)
(295, 655, 299.7993822674628, 656.8880825190789)
(334, 655, 338.7890480671863, 656.871491073448)
(373, 655, 377.7671052598124, 656.8825101452932)
(412, 655, 416.79319176402197, 656.9186017219366)
(451, 655, 455.7636812240169, 656.9468257136576)
(490, 655, 494.77313688275433, 656.9639485826134)
(490, 616, 494.78073103615225, 617.9127818987752)
(490, 577, 494.7706647554271, 578.8922243461453)
(490, 538, 494.84940908052886, 539.8937634221074)
(490, 499, 494.86635713748603, 500.9022043209295)
(490, 460, 494.83626336074326, 461.8929000590614)
(490, 421, 494.8058969872646, 422.89711550345214)
(490, 382, 494.76363057794754, 383.9035094377026)
(490, 343, 494.7452886686108, 344.95962889625673)
(451, 343, 455.7141838896468, 344.94237233793797)
(412, 343, 416.7033675164719, 344.95193681759434)
(373, 343, 377.7003209001415, 344.9194839725697)
(334, 343, 338.73455841121256, 344.9273609614152)
(295, 343, 299.7358855480088, 344.9880107554704)
(295, 382, 299.6796739939248, 383.98851401537604)
(295, 421, 299.68916536206024, 423.03571089199545)
(295, 460, 299.69944826570486, 462.0281933872916)
(295, 499, 299.6442438058057, 500.9528095499491)
(295, 538, 299.609913821559, 539.9799170635513)
(295, 577, 299.59764579184167, 578.9800157524693)
(295, 616, 299.58389408661327, 617.9720023633084)
(295, 655, 299.58577370264294, 656.9493470233145)
(334, 655, 338.5592600133781, 656.9057182275013)
(373, 655, 377.57093392534466, 656.8732686783735)
(412, 655, 416.5488721861671, 656.8550652807259)
(451, 655, 455.5558963233078, 656.8373565404917)
(490, 655, 494.3472766021452, 656.8287158622393)
