(490, 810, 484.28886181286305, 808.7298627527441)
(451, 810, 445.3698441104401, 808.4213731832098)
(412, 810, 406.3459946553894, 808.0792647332518)
(373, 810, 367.3136235196082, 807.7440871498991)
(334, 810, 328.3392807372971, 807.4423338291338)
(295, 810, 289.39141211624695, 807.2179872680897)
(256, 810, 250.3759280095404, 806.8926366581912)
(217, 810, 211.3053676134214, 806.624800245134)
(178, 810, 172.2576363391796, 806.3606498032188)
(206, 782, 200.28684567416434, 778.4306868173429)
(234, 754, 228.2743535755547, 750.40794137441)
(262, 726, 256.2721286889012, 722.3482193031116)
(290, 698, 284.2494544720185, 694.318612241508)
(318, 670, 312.27234087749605, 666.3038515591088)
(346, 698, 340.277391679309, 694.3426602337416)
(374, 726, 368.2494554098336, 722.3592436739037)
(402, 754, 396.23606837538404, 750.399841989805)
(430, 782, 424.241112584158, 778.4164530566893)
(458, 810, 452.2584008023525, 804.8284703813152)
